description|ean
GEL P/ ECG 100GR|7898110000000
GEL P/ ULTRASSON GALAO 5 L|7898230000000
GEL P/ULTRASSON/ECOCARDIOGRAMA C/05 KG MULTIGEL|7898920000000
PASTA P/ ECG 100GR-MULTIGEL|7898920000000
GEL P/ ULTRASSON 5000GR(TRANSP)-CARBOGEL|7898110000000
GEL ULTRASSOM 5000 GR (I)|7898920000000
GEL P/ULTRAS./ ECOCARDIOG. BOLSA C/05 KG MULTIGEL|7898920000000
GEL ULTRASSOM 1000 GR (I)|7898920000000
GEL ULTRASSOM 100 GR (I)|7898920000000
PASTA P/ ECG 100GR C/112 -CARBOGEL|7898110000000
GEL P/ULTRASSON/ECOCARDIOGRAMA C/100GR MULTIGEL|7898920000000
GEL PARA ECG 100ML|7898280000000
GEL CLINICO 5 KG GALAO RMC|7898930000000
OLLA GEL LUBRIF INTIMO BG 70GR-DEMAIS PROD|7896220000000
K-MED ROCKETTS GEL 100 GR ESPANHOLA|7899790000000
LUBRIFICANTE INTIMO EASY GEL 50 GR TEUTO|7896110000000
PASTA GEL P/ ULTRASSONOGRAFIA 100ML CARBOGEL|7898110000000
PASTA GEL PARA ELETROCARDIOGRAFIA 100ML CARBOGEL|7898110000000
GEL CLINICO BAG 5KG(SACH̻) RMC|7898930000000
GEL P/ULTRASSON 5 LITROS EM BOLSA (BAG) - UN COM 1 LT|7898110000000
GEL P/ ECG|7898900000000
GEL K-MED JOY 200ML|7896520000000
GEL P/ ULTRASSOM 5KG ULTRA-GEL MULTIGEL (1)|7898920000000
GEL PULTRASSONOGRAFIA 300ML MULTIGEL|7898920000000
GEL PULTRASSONOGRAFIA 1KG MULTIGEL|7898920000000
CIPROFIBRATO 100MG COMPR C30 MEDLEY|7891060000000
K-Y GEL LUBRIF INTIMO 100G|7897210000000
GEL P/ ECG 100GR CARBOGEL IND E COMERCIO LTDA|7898110000000
GEL PARA ULTRASSONOGRAFIA|7898920000000
GEL PECG 100GR MULTIGEL|7898920000000
GEL PULTRASSONOGRAFIA 2LTS MULTIGEL|7898920000000
PLURIGEL - BUJAO 5KG|7898110000000
K-MED ROCKETT MENTA REFRESCANTE 100GR|7899790000000
GEL GEL P ULTRASSONOGRAFICA (01 LITRO CADA) CARBOGEL 1000ML|7898110000000
ELECTRON PLUS 100G|7898900000000
GEL P/ ECG FR|7898900000000
GALAO DE 5 LITROS DE GEL CONDUTOR DE FIS|7898110000000
GEL P/ ECG 100ML CARBOGEL|7898110000000
GEL P/ ULTRA-SOM - 100G CARBOGEL IND E COMERCIO LTDA|7898110000000
GEL P/ ULTRA-SOM - 1000ML CARBOGEL IND E COMERCIO LTDA|7898110000000
GEL P/ ULTRASSON|1000020000000
GEL PARA ULTRASSOM 300G CARBOGEL|7898110000000
GEL CONDUTOR 5KG GALAO/SACHE|7898110000000
METILCELULOSE 2% COLIRIO 10ML OFTALMOPHARMA|7898910000000
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO - 1KG|7898110000000
GEL CONDUTOR PARA ECG|7898920000000
OLLA GEL LUBRIF INTIMO BG 50GR-DEMAIS PROD|7896220000000
OLLA GEL LUBRIF INTIMO L70 P50-DEMAIS PROD|7896220000000
OLLA GEL LUBRIF INTIMO L70 P50GR-DEMAIS PROD|7896220000000
JONTEX GEL LUB NEUTRO 100G-DEMAIS PROD|7896220000000
K-MED 2 EM 1 203G|7896520000000
LUBRIFICANTE EASY ICE MENTA GEL 40 GR TEUTO|7896110000000
GEL P ULTRASOM 05KG BISNAGA|7898920000000
GEL P/ ECG 100GR CARBOGEL|7898110000000
PASTA ELETROCARDIOGRAMA 100GR CARBOGEL|7898110000000
PASTA ELETROCARDIOGRAMA FRASCO 100GR CARBOGEL|7898110000000
GEL ULTRASSONOGRAFIA 5000ML|7898920000000
K-Y GEL LUBRIF INTIMO SACH C 5G|7891010000000
GEL P/ ULTRASSOM - 100G CARBOGEL IND E COMERCIO LTDA|7898110000000
