descricao;ean
GEL P/ ECG 100GR;7.89811E+12
GEL P/ ULTRASSON GALAO 5 L;7.89823E+12
GEL P/ULTRASSON/ECOCARDIOGRAMA C/05 KG MULTIGEL;7.89892E+12
PASTA P/ ECG 100GR-MULTIGEL;7.89892E+12
GEL P/ ULTRASSON 5000GR(TRANSP)-CARBOGEL;7.89811E+12
GEL ULTRASSOM 5000 GR (I);7.89892E+12
GEL P/ULTRAS./ ECOCARDIOG. BOLSA C/05 KG MULTIGEL;7.89892E+12
GEL ULTRASSOM 1000 GR (I);7.89892E+12
GEL ULTRASSOM 100 GR (I);7.89892E+12
PASTA P/ ECG 100GR C/112 -CARBOGEL;7.89811E+12
GEL P/ULTRASSON/ECOCARDIOGRAMA C/100GR MULTIGEL;7.89892E+12
GEL PARA ECG 100ML;7.89828E+12
GEL CLINICO 5 KG GALAO RMC;7.89893E+12
OLLA GEL LUBRIF INTIMO BG 70GR-DEMAIS PROD;7.89622E+12
K-MED ROCKETTS GEL 100 GR ESPANHOLA;7.89979E+12
LUBRIFICANTE INTIMO EASY GEL 50 GR TEUTO;7.89611E+12
PASTA GEL P/ ULTRASSONOGRAFIA 100ML CARBOGEL;7.89811E+12
PASTA GEL PARA ELETROCARDIOGRAFIA 100ML CARBOGEL;7.89811E+12
GEL CLINICO BAG 5KG(SACH̻) RMC;7.89893E+12
GEL P/ULTRASSON 5 LITROS EM BOLSA (BAG) - UN COM 1 LT;7.89811E+12
GEL P/ ECG;7.8989E+12
GEL K-MED JOY 200ML;7.89652E+12
GEL P/ ULTRASSOM 5KG ULTRA-GEL MULTIGEL (1);7.89892E+12
GEL PULTRASSONOGRAFIA 300ML MULTIGEL;7.89892E+12
GEL PULTRASSONOGRAFIA 1KG MULTIGEL;7.89892E+12
CIPROFIBRATO 100MG COMPR C30 MEDLEY;7.89106E+12
K-Y GEL LUBRIF INTIMO 100G;7.89721E+12
GEL P/ ECG 100GR CARBOGEL IND E COMERCIO LTDA;7.89811E+12
GEL PARA ULTRASSONOGRAFIA;7.89892E+12
GEL PECG 100GR MULTIGEL;7.89892E+12
GEL PULTRASSONOGRAFIA 2LTS MULTIGEL;7.89892E+12
PLURIGEL - BUJAO 5KG;7.89811E+12
K-MED ROCKETT MENTA REFRESCANTE 100GR;7.89979E+12
GEL GEL P ULTRASSONOGRAFICA (01 LITRO CADA) CARBOGEL 1000ML;7.89811E+12
ELECTRON PLUS 100G;7.8989E+12
GEL P/ ECG FR;7.8989E+12
GALAO DE 5 LITROS DE GEL CONDUTOR DE FIS;7.89811E+12
GEL P/ ECG 100ML CARBOGEL;7.89811E+12
GEL P/ ULTRA-SOM - 100G CARBOGEL IND E COMERCIO LTDA;7.89811E+12
GEL P/ ULTRA-SOM - 1000ML CARBOGEL IND E COMERCIO LTDA;7.89811E+12
GEL P/ ULTRASSON;1.00002E+12
GEL PARA ULTRASSOM 300G CARBOGEL;7.89811E+12
GEL CONDUTOR 5KG GALAO/SACHE;7.89811E+12
METILCELULOSE 2% COLIRIO 10ML OFTALMOPHARMA;7.89891E+12
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO - 1KG;7.89811E+12
GEL CONDUTOR PARA ECG;7.89892E+12
OLLA GEL LUBRIF INTIMO BG 50GR-DEMAIS PROD;7.89622E+12
OLLA GEL LUBRIF INTIMO L70 P50-DEMAIS PROD;7.89622E+12
OLLA GEL LUBRIF INTIMO L70 P50GR-DEMAIS PROD;7.89622E+12
JONTEX GEL LUB NEUTRO 100G-DEMAIS PROD;7.89622E+12
K-MED 2 EM 1 203G;7.89652E+12
LUBRIFICANTE EASY ICE MENTA GEL 40 GR TEUTO;7.89611E+12
GEL P ULTRASOM 05KG BISNAGA;7.89892E+12
GEL P/ ECG 100GR CARBOGEL;7.89811E+12
PASTA ELETROCARDIOGRAMA 100GR CARBOGEL;7.89811E+12
PASTA ELETROCARDIOGRAMA FRASCO 100GR CARBOGEL;7.89811E+12
GEL ULTRASSONOGRAFIA 5000ML;7.89892E+12
K-Y GEL LUBRIF INTIMO SACH C 5G;7.89101E+12
GEL P/ ULTRASSOM - 100G CARBOGEL IND E COMERCIO LTDA;7.89811E+12
GEL P/ ECG 300GR VAGISPAC ADLIN;7.89811E+12
GEL P/ECG CONDUTOR, COMPOSICAO A BASE DE AGUA, CARACTERISTICAS ADICIONAIS PH NEUTRO  1 LITRO.;7.8989E+12
GEL P/ECG 100GR HALL;7.8989E+12
GEL PECG 1KG -;7.89892E+12
K-MED 100 G CIMED;7.89652E+12
GEL P/ ULTRASSONOGRAFIA 5KG;1.00002E+12
GEL P/ ECG 100G FR;7.8989E+12
GEL DE CONDUTIVIDADE ELETRICA P/ELETROENCEFALOGRAMA ( EEG)  - POTE C/1 KG;7.8989E+12
GEL CONDUTOR ULTRASSOM LOT180951 FAB.09/2018 (2ANOS);7.89811E+12
GEL P ECG 1 KG HAL;7.8989E+12
GEL BARREIRA ANTIBACTERIANO C/ POLIHEXAM 30ML;7.89894E+12
GEL CONDUTOR PARA ULTRASSONOGRAFIA - FRASCO 100GR;7.89892E+12
GEL CONDUTOR PARA ULTRASSONOGRAFIA, 100GR;7.89892E+12
GEL MEGA 1KG;7.89893E+12
ELECTRON PLUS 1KG FR;7.8989E+12
GEL ULTRASSOM - FRASCO 100G;7.89811E+12
GEL CONDUTOR ULTRASSOM - FRASCO 100G CARBOGEL;7.89811E+12
K-SEX UNIAOQ SIM NATURAL GEL 50 GRS;7.89601E+12
K MED CIMED GEL 50 GRS;7.89652E+12
K-SEX UNIAOQ SIM HOT GEL 50 GRS;7.89601E+12
GEL ELETRO 1KG AZUL;7.8989E+12
GEL P/ECG 100GR MULTIGEL;7.89892E+12
GEL PARA ULTRASSONOGRAFIA 1KG  HAL;7.8989E+12
K-Y GEL LUBIF INTIMO 50G L50P40;7.89721E+12
GEL P/ECG 100G FABRICANTE: CARBOGEL;7.89811E+12
GEL P/ ECG - HAL;7.8989E+12
GEL P  ULTRASSONOGRAFIA 100G SONIC PLUS HAL;7.8989E+12
GEL P/ ECG 1000ML (1KG)  MULTIGEL;7.89892E+12
PASTA CONDUTORA P/ ELETROCARDIOGRAMA, ULTRASSONOGRAFIA, E DEMAIS, ACONDICIONADA EM FRASCO C/ NO MINIMO 100ML - MULTIGEL;7.89781E+12
