cod;descricao;ean
1;GEL P/ ECG 100GR;7898107240268
3;GEL CONDUTOR DE CORRENTE PARA ECG 100G - MADEITEX;7898107240268
3;GEL CONDUTOR MULTIGEL P/ELETROCARDIOGRAMA 100GR - SUTURAS ONLINE;7898107240268
3;GEL CONDUTOR PARA ECG FRASCO 100GR CARBOGEL;7898107240268
3;GEL ECG (ELETROCARDIOGRAMA) FRASCO 100G - SUPERDINATEC;7898107240268
3;GEL ECG - WELMED;7898107240268
3;GEL ECG CARBOGEL - FRASCO 100G (CAIXA COM 90 - SPMEDICA.COM;7898107240268
3;GEL ECG CARBOGEL 100G AZUL - SANTA APOLÔNIA;7898107240268
3;GEL P/ECG MULTIGEL 100G AZUL - LUIMED DISTRIBUIDORA;7898107240268
3;GEL PARA ULTRASSOM E ECG - ELETROCARDIOGRAMA CARBOGEL;7898107240268
1;GEL P/ ULTRASSON GALAO 5 L;7898225390289
3;GALÃO 5 KG - RMC - GEL CONDUTOR INCOLOR PARA ULTRASSOM, TENS, FES;7898225390289
3;GEL 5 LITROS PARA ULTRASSOM | MERCADOLIVRE;7898225390289
3;GEL CONDUTOR 5 LITROS | MERCADOLIVRE;7898225390289
3;GEL CONDUTOR INCOLOR PARA ULTRASSOM BAG 5 LITROS MERCUR;7898225390289
3;GEL CONDUTOR PARA ULTRASSOM E CORRENTES INCOLOR 5KG - CARBOGEL;7898225390289
3;GEL CONDUTOR PARA ULTRASSOM PLURIGEL 5KG CARBOGEL - FIBRA CIRÚRGICA;7898225390289
3;GEL CONDUTOR RMC GALÃO 5 LITROS - CASA MÉDICA;7898225390289
3;GEL PARA ULTRASSOM 5KG EM PROMOÇÃO NO MAGAZINE LUIZA;7898225390289
3;GEL PARA ULTRASSOM GALÃO 5KG - MULTIGEL;7898225390289
3;GEL ULTRASSOM ULTRA-GEL GALÃO 5 KG MULTIGEL - PRIME CIRURGICA;7898225390289
1;GEL P/ULTRASSON/ECOCARDIOGRAMA C/05 KG MULTIGEL;7898924950081
3;GEL CONDUTOR INCOLOR - GALÃO 5KG - MULTIGEL - BIOCARE;7898924950081
3;GEL PARA ULTRASSOM GALÃO 5KG - MULTIGEL;7898924950081
3;GEL PARA ULTRASSOM ULTRA-GEL 5 KG - MULTIGEL - KAJA VET;7898924950081
3;GEL PARA ULTRASSOM ULTRA-GEL BOLSA 5 KG MULTIGEL;7898924950081
3;GEL ULTRASSOM 5 KG MULTIGEL - CIRÚRGICA NILMAR;7898924950081
3;GEL ULTRASSOM ULTRA-GEL BOLSA 5 KG MULTIGEL - PRIME CIRURGICA;7898924950081
3;PRODUTOS - MULTIGEL;7898924950081
