cod;descricao;ean
1;ACETATO DE CIPROTERONA 100MG CX C/ 20CP;9900000452810
3;ACETATO DE CIPROTERONA 100MG COM 20 COMPRIMIDOS HTML;9900000452810
3;ACETATO DE CIPROTERONA 50 MG - CAIXA C/ 20 COMPRIMIDOS;9900000452810
3;ACETATO DE CIPROTERONA: MENOR PREÇO E ENTREGA RÁPIDA, COMPRE ONLINE;9900000452810
3;ANDROCUR 100MG BAYER 20 COMPRIMIDOS - DROGARIAS PACHECO;9900000452810
3;ANDROCUR CIPROTERONA 100MG 20 COMPRIMIDOS - DROGA RAIA;9900000452810
3;CIPROTERONA 100MG 20CP ANDROCUR - BAYER - ÁGILMED;9900000452810
3;CIPROTERONA 50MG 20 CP BERGAMO (ANDROCUR-SCHERING);9900000452810
3;ENCONTRE ACETATO CIPROTERONA BERGAMO 50MG COM 20 COMPRIMIDOS;9900000452810
1;COSOPOT FSC C/ 05ML;9900000452797
1;COSOPT C/ 05ML;9900000452797
3;COLÍRIO COSOPT MUNDIPHARMA 5ML - DROGARIA SAO PAULO;9900000452797
3;COLÍRIO COSOPT MUNDIPHARMA 5ML - DROGARIAS PACHECO;9900000452797
3;COMPRAR COSOPT COM 5ML - MUNDIPHARMA;9900000452797
3;COSOPT CLORIDRATO DE DORZOLAMIDA 2,0 % + MALEATO DE - DROGA RAIA;9900000452797
3;COSOPT CLORIDRATO DE DORZOLAMIDA 2,0 % + MALEATO DE - DROGASIL;9900000452797
3;COSOPT COLÍRIO 5ML - ULTRAFARMA;9900000452797
3;COSOPT COM MENOR PREÇO E ENTREGA RÁPIDA, COMPRE ONLINE | CR;9900000452797
3;COSOPT FRASCO COM 5ML - DROGAL;9900000452797
3;COSOPT MERCK 5ML SOLUÇÃO - DROGARIAVENANCIO;9900000452797
1;VITAMINA D 7.000UI CX C/ 4CP;9900000452780
3;ALTA D 7.000UI - CAIXA C/ 4CP REVESTIDOS MOLES - EUROFARMA - MEDICOM;9900000452780
3;ENCONTRE ADDERA D3 7.000UI 4 COMPRIMIDOS NO CLIQUEFARMA, PREÇO;9900000452780
3;ENCONTRE O MELHOR PREÇO DE SOF D 7.000UI ABBOTT 8 CAPSULAS;9900000452780
3;VITAMINA D 7.000 UI COMP REV 1BL - FARMÁCIA JARAGUÁ;9900000452780
3;VITAMINA D 7.000UI COM 4 COMPRIMIDOS - JETFARMA;9900000452780
3;VITAMINA D ADDERA D3 7.000UI 4 COMPRIMIDOS - DROGA RAIA;9900000452780
